Well_ID,Well_Name,lat_dec,long_dec
381736112381901, (C-29- 7)16aaa- 1,38.2933039,-112.6393852
381743112363901, (C-29- 7)11cda- 1,38.29524846,-112.6116064
381747112380101, (C-29- 7)10cdb- 1,38.29635948,-112.634385
381806109185801, (D-29-24) 7aba- 1,38.3016539,-109.316779
381820111300501, (D-29- 4) 8bbd- 1,38.30553586,-111.5021245
381835112594201, (C-29-10) 5dcd- 1,38.30969019,-112.995788
381901113014102, (C-29-11) 1add- 2,38.31691185,-113.0288447
381925113054001, (C-29-11) 4baa- 1,38.3235774,-113.0952358
381931113200201, (C-28-13)32cdd- 1,38.3253333,-113.3338333
381940111253501, (D-28- 4)36cdb- 1,38.3277576,-111.4271213
381957112403301, (C-28- 7)31ada- 1,38.33247047,-112.6766094
381957113024701, (C-28-11)35add- 3,38.33246687,-113.0471788
382020112585901, (C-28-10)28cdd- 1,38.3388565,-112.9838434
382020113012201, (C-28-10)30cdc- 1,38.338856,-113.023567
382046112592701, (C-28-10)29add- 1,38.34607857,-112.9916215
382113113435401, (C-28-17)22dda- 1,38.35357117,-113.732473
382120112381801, (C-28- 7)21dda- 1,38.3555262,-112.639108
382138113003303, (C-28-10)19add- 3,38.3605225,-113.0099556
382138113035302, (C-28-11)23cbb- 3,38.36052167,-113.0655129
382146112411301, (C-28- 7)19bdb- 1,38.36274825,-112.6877213
382212112383602, (C-28- 7)16dca- 2,38.36997064,-112.6441084
382252112381802, (C-28- 7)16aaa- 2,38.38108179,-112.6391083
382259113433701, (C-28-17)11cca- 1,38.3830151,-113.7277512
382319111383401, (D-28- 2)12dbc- 1,38.38859068,-111.6435176
382325109270501, (D-28-22) 1cda- 1,38.39025,-109.4514444
382336113001402, (C-28-10) 8bac- 2,38.39329988,-113.0046779
382350113231901, (C-28-14)11abb- 1,38.39718358,-113.3894112
382402113421101, (C-28-17) 1dbb- 1,38.40066667,-113.7029444
382417109251101, (D-27-23)32ccd- 1,38.4048333,-109.41975
382441111372901, (D-28- 3) 6baa- 1,38.411368,-111.6254614
382448109271401, (D-27-22)36bdb- 1,38.41344444,-109.4539167
382448112391101, (C-27- 7)33cca- 3,38.413304,-112.6538315
382515112130201, (C-27- 3)32add- 1,38.4208099,-112.2179798
382517109273601, (D-27-22)26dda- 1,38.4215,-109.4600278
382535113251101, (C-27-14)28ddd- 1   Wah Wah MX Well,38.4263494,-113.4205232
382539113250601, (C-27-14)28ddd- 2   Wah Wah MX Well-2 inch casing,38.4274605,-113.4191343
